region,FBI_cnt,sv_group_cnt,sample_cnt,SRR3760937,SRR3760940,SRR3825071,SRR3987259,SRR5114912,SRR5115059,SRR3760936,SRR3760945,SRR3760946,SRR3760949,SRR3760954,SRR3760957,SRR3760960,SRR3760962,SRR3760965,SRR3760970,SRR3760973,SRR3760975,SRR3760978,SRR3760985,SRR3760987,SRR3760995,SRR3760996,SRR3760997,SRR3761001,SRR3761002,SRR3761005,SRR3761011,SRR3761013,SRR3761015,SRR3761020,SRR3761024,SRR3761025,SRR3761026,SRR3761030,SRR3761033,SRR3761035,SRR3825048,SRR3825050,SRR3825053,SRR3825058,SRR3825060,SRR3825064,SRR3825068,SRR3825076,SRR3825079,SRR3825081,SRR3825083,SRR3825086,SRR3825088,SRR3825093,SRR3825094,SRR3825096,SRR3825098,SRR3825100,SRR3825106,SRR3825108,SRR3825112,SRR3825121,SRR3825123,SRR3825125,SRR3825132,SRR3825137,SRR3825141,SRR3825142,SRR3825143,SRR3825145,SRR3825147,SRR3928800,SRR3928803,SRR3928804,SRR3928807,SRR3928810,SRR3928822,SRR3928827,SRR3928830,SRR3928831,SRR3928834,SRR3928841,SRR3928842,SRR3928843,SRR3928849,SRR3928850,SRR3928851,SRR3928856,SRR3928859,SRR3928863,SRR3928866,SRR3928871,SRR3928872,SRR3928873,SRR3928875,SRR3928878,SRR3928879,SRR3928888,SRR3928889,SRR3928890,SRR3928891,SRR3928892,SRR3928894,SRR3928897,SRR3931724,SRR3931735,SRR3931736,SRR3931747,SRR3931752,SRR3931763,SRR3931771,SRR3931775,SRR3931776,SRR3931781,SRR3931782,SRR3931787,SRR3931791,SRR3931792,SRR3931811,SRR3931812,SRR3931816,SRR3931817,SRR3931827,SRR3931829,SRR3931830,SRR3931833,SRR3931835,SRR3931840,SRR3931846,SRR3931851,SRR3931856,SRR3931857,SRR3931859,SRR3931877,SRR3931880,SRR3945280,SRR3945282,SRR3945287,SRR3945294,SRR3945296,SRR3945299,SRR3945301,SRR3945303,SRR3945309,SRR3945312,SRR3945315,SRR3945316,SRR3945317,SRR3945319,SRR3945326,SRR3945327,SRR3945332,SRR3945336,SRR3945341,SRR3945343,SRR3945349,SRR3945352,SRR3945469,SRR3945470,SRR3945476,SRR3945477,SRR3945479,SRR3945484,SRR3945487,SRR3945488,SRR3945489,SRR3945491,SRR3945494,SRR3949322,SRR3949329,SRR3949330,SRR3949332,SRR3949333,SRR3949343,SRR3949346,SRR3949347,SRR3949358,SRR3949367,SRR3949371,SRR3949377,SRR3949380,SRR3949381,SRR3949384,SRR3949387,SRR3949391,SRR3949394,SRR3949401,SRR3949402,SRR3949403,SRR3949404,SRR3949410,SRR3949414,SRR3949422,SRR3949424,SRR3949431,SRR3953716,SRR3953729,SRR3953732,SRR3953737,SRR3953739,SRR3953744,SRR3953746,SRR3953748,SRR3953751,SRR3953754,SRR3953757,SRR3953759,SRR3953761,SRR3953765,SRR3953768,SRR3953774,SRR3953783,SRR3953785,SRR3953792,SRR3953798,SRR3953805,SRR3953809,SRR3953811,SRR3953813,SRR3953814,SRR3953820,SRR3953826,SRR3953827,SRR3953829,SRR3953836,SRR3953840,SRR3953841,SRR3953843,SRR3953844,SRR3953847,SRR3953849,SRR3987226,SRR3987230,SRR3987234,SRR3987237,SRR3987238,SRR3987242,SRR3987244,SRR3987250,SRR3987251,SRR3987253,SRR3987258,SRR3987264,SRR3987270,SRR3987273,SRR3987276,SRR3987277,SRR3987280,SRR3987315,SRR3987316,SRR3987322,SRR3987324,SRR3987341,SRR3987345,SRR3987346,SRR3987349,SRR3987351,SRR3987357,SRR3987362,SRR3987363,SRR3987367,SRR3987369,SRR3989816,SRR3989819,SRR3989822,SRR3989823,SRR3989824,SRR3989826,SRR3989830,SRR3989831,SRR3989836,SRR3989839,SRR3989840,SRR3989845,SRR3989847,SRR3989850,SRR3989856,SRR3989860,SRR3989862,SRR3989863,SRR3989866,SRR3989869,SRR3989873,SRR3989877,SRR3989879,SRR3989881,SRR3989882,SRR3989888,SRR3989892,SRR3989893,SRR3989895,SRR3989897,SRR3989901,SRR3989905,SRR3989907,SRR4017544,SRR5114918,SRR5114921,SRR5114924,SRR5114927,SRR5114936,SRR5114948,SRR5114954,SRR5114957,SRR5114960,SRR5114963,SRR5114966,SRR5114969,SRR5114975,SRR5114978,SRR5114981,SRR5114984,SRR5114987,SRR5114990,SRR5114993,SRR5114996,SRR5114999,SRR5115002,SRR5115005,SRR5115008,SRR5115011,SRR5115017,SRR5115023,SRR5115026,SRR5115029,SRR5115032,SRR5115035,SRR5115041,SRR5115044,SRR5115047,SRR5115050,SRR5115053,SRR5115056
chr1:1000001-2000000,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR5115005_1_sv.txt,,,,,,,,,,,,,,
chr1:6000001-7000000,28,28,28,,,,,,,,,,,SRR3760954_1_sv.txt,,,,,,,,,SRR3760985_1_sv.txt,,,,,,,,,,,,SRR3761024_1_sv.txt,,,,SRR3761033_1_sv.txt,,,,,,,,,,,SRR3825081_1_sv.txt,,,,,,,,,,,,,SRR3825123_1_sv.txt,,,SRR3825137_1_sv.txt,,,,,,,,,,,,,,,,SRR3928841_1_sv.txt,,,,,,,SRR3928859_1_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3931829_1_sv.txt,,,,,,,,,,SRR3931877_1_sv.txt,,SRR3945280_1_sv.txt,,,,,,,,,,SRR3945315_1_sv.txt,,,,SRR3945326_1_sv.txt,,,,,,,SRR3945352_1_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3949394_1_sv.txt,,,,,,,,SRR3949424_2_sv.txt,,,,,,SRR3953739_1_sv.txt,,,,SRR3953751_1_sv.txt,,,,,SRR3953765_1_sv.txt,,,SRR3953783_1_sv.txt,,,,,,,,,,,,,,,,,,,,,,,SRR3987237_1_sv.txt,,,,,,,,,,,,SRR3987277_1_sv.txt,,,SRR3987316_1_sv.txt,,,SRR3987341_1_sv.txt,,,,,,,,,SRR3987369_1_sv.txt,,,,,,,,,,,,,SRR3989847_1_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR5114981_1_sv.txt,,,,,,,,,,,,,,,,,,,,,,
chr1:7000001-8000000,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3953798_1_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr1:8000001-9000000,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3953732_2_sv.txt,,,,,,,,,,,,,,,,,,,,,,SRR3953814_1_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr1:13000001-14000000,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3825100_2_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr1:16000001-17000000,32,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3825053_1_sv.txt,,,,,,,,,,,,,,,SRR3825100_3_sv.txt,,,,,,,,SRR3825137_3_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3945303_1_sv.txt,SRR3945309_2_sv.txt,,,,,,,,,,,,,,,,,,,,,,SRR3945489_4_sv.txt,SRR3945491_1_sv.txt,,SRR3949322_3_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3953765_3_sv.txt,,,,,,,,,,,SRR3953814_2_sv.txt,,,,,,,SRR3953841_1_sv.txt,,,,,,,,,SRR3987238_1_sv.txt,,,,,,,,,,,,SRR3987280_1_sv.txt,,,,,,SRR3987345_2_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR5115011_2_sv.txt,,,,,,,,,,,,
chr1:19000001-20000000,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3928892_1_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr1:20000001-21000000,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3825143_1_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3987277_2_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr1:21000001-22000000,86,40,40,SRR3760937_2_sv.txt,,,SRR3987259_1_sv.txt,,,,SRR3760945_2_sv.txt,,,,,,,,,,,,,,SRR3760995_2_sv.txt,SRR3760996_2_sv.txt,,,,,,SRR3761013_2_sv.txt,,,,,SRR3761026_2_sv.txt,,SRR3761033_2_sv.txt,SRR3761035_2_sv.txt,,,,,,SRR3825064_3_sv.txt,,SRR3825076_1_sv.txt,,,,,,,,,,SRR3825100_4_sv.txt,,,,,,,,,,,,SRR3825145_3_sv.txt,SRR3825147_2_sv.txt,,,,,,,,,,SRR3928834_1_sv.txt,,,,,,,,,,,,,,,,,,,,SRR3928891_1_sv.txt,,,,,,SRR3931736_2_sv.txt,,,,,,,,,,,,,,SRR3931816_2_sv.txt,,,,,,,SRR3931840_1_sv.txt,,,,SRR3931857_1_sv.txt,SRR3931859_1_sv.txt,,,,,,SRR3945294_1_sv.txt,,,SRR3945301_2_sv.txt,,SRR3945309_3_sv.txt,,SRR3945315_2_sv.txt,,,,,,,,,SRR3945343_3_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3953754_2_sv.txt,,,,,,,,SRR3953785_3_sv.txt,,,,,,,,,,,,,,,,,,,,,,SRR3987237_3_sv.txt,,,,SRR3987250_1_sv.txt,,,,,SRR3987270_2_sv.txt,SRR3987273_2_sv.txt,,SRR3987277_2_sv.txt,,,,,SRR3987324_2_sv.txt,SRR3987341_3_sv.txt,,,,,,,,,,,,SRR3989822_3_sv.txt,SRR3989823_1_sv.txt,,,,,,,,,SRR3989847_3_sv.txt,,,,,,,SRR3989869_2_sv.txt,,,,,,,,SRR3989893_2_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr1:22000001-23000000,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRR3987270_2_sv.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
