case_id,coverage,purity,simulator,seg_id,seg_info,actual_CN,result_CN,ILP_error
1,10,1,ont,1,chr7:55281001:55282000,2,2,1.100000
1,10,1,ont,2,chr7:55282001:55283000,6,6,1.100000
1,10,1,ont,3,chr7:55283001:55284000,8,8,1.100000
1,10,1,ont,4,chr7:55284001:55285000,8,8,1.100000
1,10,1,ont,5,chr7:55285001:55286000,4,4,1.100000
1,10,1,ont,6,chr7:55286001:55287000,4,4,1.100000
1,10,1,ont_ont,1,chr7:55281001:55282000,2,2,1.000000
1,10,1,ont_ont,2,chr7:55282001:55283000,6,6,1.000000
1,10,1,ont_ont,3,chr7:55283001:55284000,8,8,1.000000
1,10,1,ont_ont,4,chr7:55284001:55285000,8,8,1.000000
1,10,1,ont_ont,5,chr7:55285001:55286000,4,4,1.000000
1,10,1,ont_ont,6,chr7:55286001:55287000,4,4,1.000000
5,30,1,ont,1,chr6:45651000:45652000,1,1,3.133330
5,30,1,ont,2,chr6:45652000:45653000,1,1,3.133330
5,30,1,ont,3,chr6:45653000:45654000,4,4,3.133330
5,30,1,ont,4,chr6:45654000:45655000,4,4,3.133330
5,30,1,ont,5,chr6:45655000:45656000,4,4,3.133330
5,30,1,ont,6,chr6:45656000:45657000,2,2,3.133330
5,30,1,ont_ont,1,chr6:45651000:45652000,1,1,3.133330
5,30,1,ont_ont,2,chr6:45652000:45653000,1,1,3.133330
5,30,1,ont_ont,3,chr6:45653000:45654000,4,4,3.133330
5,30,1,ont_ont,4,chr6:45654000:45655000,4,4,3.133330
5,30,1,ont_ont,5,chr6:45655000:45656000,4,4,3.133330
5,30,1,ont_ont,6,chr6:45656000:45657000,2,2,3.133330
5,20,1,ont,1,chr6:45651000:45652000,1,1,1.100000
5,20,1,ont,2,chr6:45652000:45653000,1,1,1.100000
5,20,1,ont,3,chr6:45653000:45654000,4,4,1.100000
5,20,1,ont,4,chr6:45654000:45655000,4,4,1.100000
5,20,1,ont,5,chr6:45655000:45656000,4,4,1.100000
5,20,1,ont,6,chr6:45656000:45657000,2,2,1.100000
5,20,1,ont_ont,1,chr6:45651000:45652000,1,1,1.100000
5,20,1,ont_ont,2,chr6:45652000:45653000,1,1,1.100000
5,20,1,ont_ont,3,chr6:45653000:45654000,4,4,1.100000
5,20,1,ont_ont,4,chr6:45654000:45655000,4,4,1.100000
5,20,1,ont_ont,5,chr6:45655000:45656000,4,4,1.100000
5,20,1,ont_ont,6,chr6:45656000:45657000,2,2,1.100000
6,30,1,ont,1,chr8:33091000:33092000,1,0,unresolvable
6,30,1,ont,2,chr8:33092000:33093000,4,0,unresolvable
6,30,1,ont,3,chr8:33093000:33094000,4,0,unresolvable
6,30,1,ont,4,virus:45656000:45657000,4,0,unresolvable
6,30,1,ont,5,chr8:33094000:33095000,4,0,unresolvable
6,30,1,ont_ont,1,chr8:33091000:33092000,1,1,3.000000
6,30,1,ont_ont,2,chr8:33092000:33093000,4,4,3.000000
6,30,1,ont_ont,3,chr8:33093000:33094000,4,4,3.000000
6,30,1,ont_ont,4,virus:45656000:45657000,4,4,3.000000
6,30,1,ont_ont,5,chr8:33094000:33095000,4,4,3.000000
4,5,1,ont,1,chr2:33091001:33092000,2,2,2.600000
4,5,1,ont,2,chr2:33092001:33093000,4,4,2.600000
4,5,1,ont,3,chr2:33093001:33094000,4,4,2.600000
4,5,1,ont,4,chr2:33094001:33095000,4,4,2.600000
4,5,1,ont,5,chr6:45655001:45656000,2,2,2.600000
4,5,1,ont,6,chr6:45656001:45657000,4,4,2.600000
4,5,1,ont,7,chr6:45657001:45658000,4,4,2.600000
4,5,1,ont_ont,1,chr2:33091001:33092000,2,2,2.000000
4,5,1,ont_ont,2,chr2:33092001:33093000,4,4,2.000000
4,5,1,ont_ont,3,chr2:33093001:33094000,4,4,2.000000
4,5,1,ont_ont,4,chr2:33094001:33095000,4,4,2.000000
4,5,1,ont_ont,5,chr6:45655001:45656000,2,2,2.000000
4,5,1,ont_ont,6,chr6:45656001:45657000,4,4,2.000000
4,5,1,ont_ont,7,chr6:45657001:45658000,4,4,2.000000
2,30,1,ont,1,chr3:82271001:82272000,3,3,2.000000
2,30,1,ont,2,chr3:82272001:82273000,6,6,2.000000
2,30,1,ont,3,chr3:82273001:82274000,6,6,2.000000
2,30,1,ont,4,chr3:82274001:82275000,6,6,2.000000
2,30,1,ont,5,chr3:82275001:82276000,5,5,2.000000
2,30,1,ont,6,chr3:82276001:82277000,4,4,2.000000
2,30,1,ont_ont,1,chr3:82271001:82272000,3,3,3.000000
2,30,1,ont_ont,2,chr3:82272001:82273000,6,6,3.000000
2,30,1,ont_ont,3,chr3:82273001:82274000,6,6,3.000000
2,30,1,ont_ont,4,chr3:82274001:82275000,6,6,3.000000
2,30,1,ont_ont,5,chr3:82275001:82276000,5,5,3.000000
2,30,1,ont_ont,6,chr3:82276001:82277000,4,4,3.000000
6,10,1,ont,1,chr8:33091000:33092000,1,0,unresolvable
6,10,1,ont,2,chr8:33092000:33093000,4,0,unresolvable
6,10,1,ont,3,chr8:33093000:33094000,4,0,unresolvable
6,10,1,ont,4,virus:45656000:45657000,4,0,unresolvable
6,10,1,ont,5,chr8:33094000:33095000,4,0,unresolvable
6,10,1,ont_ont,1,chr8:33091000:33092000,1,1,3.000000
6,10,1,ont_ont,2,chr8:33092000:33093000,4,4,3.000000
6,10,1,ont_ont,3,chr8:33093000:33094000,4,4,3.000000
