chrom_5p	bkpos_5p	strand_5p	chrom_3p	bkpos_3p	strand_3p	avg_cn
chr3	82271001	-	chr3	82277001	+	1
chr3	82271001	-	chr3	82271006	+	2
chr3	82272002	-	chr3	82277001	+	1
chr3	82272003	-	chr3	82277002	+	1
chr3	82272005	-	chr3	82273002	+	2
chr3	82272007	-	chr3	82277002	+	1
chr3	82272011	-	chr3	82273014	+	1
chr3	82273003	-	chr3	82277002	+	1
chr3	82273006	+	chr3	82276996	-	1
chr3	82275004	+	chr3	82276002	-	1
chr3	82276995	+	chr3	82277007	-	2
chr3	82276996	+	chr3	82277002	-	1
chr3	82276998	+	chr3	82277002	-	2
chr3	82277000	+	chr3	82277001	-	2
chr3	82277000	+	chr3	82277001	-	1
chr3	82277001	+	chr3	82277002	-	2
