chrom_5p	bkpos_5p	strand_5p	chrom_3p	bkpos_3p	strand_3p	avg_cn
chr7	55281997	-	chr7	55287001	+	1
chr7	55281998	-	chr7	55282008	+	3
chr7	55282000	-	chr7	55287001	+	1
chr7	55282002	-	chr7	55282006	+	1
chr7	55282003	-	chr7	55287002	+	1
chr7	55282003	-	chr7	55285002	+	1
chr7	55282006	-	chr7	55287002	+	1
chr7	55282007	-	chr7	55285001	+	1
chr7	55283002	-	chr7	55283004	+	1
chr7	55283003	-	chr7	55287001	+	1
chr7	55283007	-	chr7	55287001	+	1
chr7	55284997	+	chr7	55285001	-	1
chr7	55285000	+	chr7	55285001	-	1
chr7	55286984	+	chr7	55287010	-	1
chr7	55286992	+	chr7	55287009	-	1
chr7	55287001	+	chr7	55287002	-	4
chr7	55287001	+	chr7	55287002	-	2
