chrom_5p	bkpos_5p	strand_5p	chrom_3p	bkpos_3p	strand_3p	avg_cn
Group:1 Translocation:True
chr1	10621	+	chr1	10621	-	20
chr1	90258	+	chr1	90258	-	68
chr1	136645	+	chr1	136645	-	22
chr1	180598	-	chr3	10997	-	58
chr3	10997	+	chr1	180598	+	36
chr1	136934	+	chr1	136934	-	22
chr1	181298	+	chr1	181298	-	13
chr1	248945814	-	chr3	10151	+	823
chr3	10151	-	chr1	248945814	+	348
chr1	248854555	+	chr1	248854555	-	34
chr1	248911643	+	chr1	248911643	-	30
chr1	248945664	+	chr1	248945664	-	108
chr1	248946269	+	chr18	10459	-	754
chr18	10459	+	chr1	248946269	-	55
chr1	248897262	+	chr1	248897262	-	26
chr1	248945664	+	chr1	248945664	-	86
chr1	248944967	+	chr1	248944967	-	42

Group:2 Translocation:False
chr1	297607	+	chr1	297607	-	15
chr1	350805	+	chr1	350805	-	45

Group:3 Translocation:False
chr1	492202	+	chr1	492202	-	3
chr1	503137	+	chr1	503137	-	16
chr1	598734	+	chr1	598734	-	23
chr1	610409	+	chr1	610409	-	25
chr1	610760	+	chr1	610760	-	25
chr1	610622	+	chr1	610622	-	25
chr1	669573	+	chr1	669573	-	5
chr1	710579	+	chr1	710579	-	20
chr1	714909	+	chr1	714909	-	32
chr1	789481	+	chr1	789481	-	11
chr1	820879	+	chr1	820879	-	41
chr1	868470	+	chr1	868470	-	19
chr1	866554	+	chr1	866554	-	22
chr1	904539	+	chr1	904539	-	23
chr1	876101	+	chr1	876101	-	16
chr1	984611	+	chr1	984611	-	15
chr1	998763	+	chr1	998763	-	19
chr1	996282	+	chr1	996282	-	20
chr1	1029386	+	chr1	1029386	-	28
chr1	1080719	+	chr1	1080719	-	21
chr1	1022587	+	chr1	1022587	-	21
chr1	1077209	+	chr1	1077209	-	22
chr1	1175832	+	chr1	1175832	-	30
chr1	1176089	+	chr1	1176089	-	30
chr1	1184655	+	chr1	1184655	-	27
chr1	1192823	+	chr1	1192823	-	16
chr1	1240648	+	chr1	1240648	-	14
chr1	1184655	+	chr1	1184655	-	26
chr1	1245155	+	chr1	1245155	-	14
chr1	1212605	+	chr1	1212605	-	21
chr1	1284177	+	chr1	1284177	-	19
chr1	1284176	+	chr1	1284176	-	19
chr1	1324180	+	chr1	1324180	-	20
chr1	1339884	+	chr1	1339884	-	28
chr1	1427468	+	chr1	1427468	-	17
chr1	1428120	+	chr1	1428120	-	19
chr1	1428118	+	chr1	1428118	-	18
chr1	1477892	+	chr1	1477892	-	30
chr1	1442855	+	chr1	1442855	-	27
chr1	1565683	+	chr1	1565683	-	27

Group:4 Translocation:False
